Word                Count
==========================
a                   710
abide                2
able                 1
about               102
above                3
absence              1
absurd               2
accept               1
acceptance           1
accepted             2
accepting            1
access              10
accessed             1
accessible           1
accident             2
accidentally         1
accordance           2
account              1
accounting           1
accounts             1
accusation           1
accustomed           1
ache                 1
across               5
act                  1
active               2
actual               1
actually             1
ada                  1
added               28
adding               1
addition             1
additional           3
additions            1
address              1
addressed            2
addresses            1
addressing           1
adjourn              1
adoption             1
advance              3
advantage            3
adventures          13
advice               5
advisable            2
advise               1
affair               1
affectionately       1
afford               1
afore                1
afraid              12
afresh               1
after               43
afternoon            1
afterwards           2
again               85
against             11
age                  4
aged                 1
agent                1
ago                  2
agony                1
agree               11
agreed               1
agreement           18
ah                   6
ahem                 1
air                 17
airs                 1
alarm                4
alarmed              1
alas                 4
alice               410
alive                3
all                 203
allow                4
almost               8
alone                6
along                5
aloud                5
already              3
also                 4
alteration           1
altered              1
alternate            1
alternately          1
altogether           5
always              13
am                  16
ambition             1
among               12
an                  66
ancient              1
and                 968
anger                2
angrily             11
angry                6
animal               2
animals              4
ann                  6
annoy                1
annoyed              1
anon                 1
another             23
answer               9
answered             4
answers              1
antipathies          1
anxious              3
anxiously           14
any                 77
anyone               5
anything            23
anywhere             3
apiece               1
apostrophe           1
appealed             1
appear               3
appearance           1
appeared             8
appearing            2
appears              1
applause             1
apples               2
applicable           3
apply                1
approach             1
arch                 1
archbishop           2
arches               4
archive             13
are                 82
argue                1
argued               1
argument             4
arguments            1
arise                1
arithmetic           1
arm                 16
arms                 7
around               3
arranged             1
array                1
arrived              1
arrow                1
arrum                1
art                  1
arthur               2
as                  274
ascii”               2
ashamed              2
ask                 11
askance              1
asked               17
asking               6
asleep               8
assembled            2
assistance           1
associated           7
at                  227
ate                  1
atheling             1
atom                 2
attached             1
attempt              2
attempted            1
attended             1
attending            3
attends              1
audibly              1
austin               3
australia            1
author               1
authority            2
avail                1
available            4
avoid                1
away                28
away—you             1
awfully              1
axes                 1
axis                 1
b                    2
baby                14
